unique_image,lat,long,flight_name,date
C7_L1_F182_T20210512_130726_253,42.2427498664059,-70.0660285251208,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F183_T20210512_130726_695,42.2427524003908,-70.0662953072678,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F184_T20210512_130727_160,42.2427545948364,-70.0665590923957,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F185_T20210512_130727_605,42.2427584216502,-70.0668215638625,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F186_T20210512_130728_063,42.242762695026,-70.0670831702921,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F187_T20210512_130728_513,42.2427642164698,-70.0673453625594,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F188_T20210512_130728_976,42.2427639738451,-70.067609543234,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F189_T20210512_130729_425,42.2427636454303,-70.0678745900505,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F190_T20210512_130729_887,42.2427660813779,-70.0681398760844,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F191_T20210512_130730_336,42.242771698888,-70.0684038895193,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F192_T20210512_130730_795,42.2427753668322,-70.0686664224938,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F193_T20210512_130731_246,42.2427731835595,-70.0689283779081,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F194_T20210512_130731_707,42.2427700434022,-70.0691928276216,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F195_T20210512_130732_155,42.2427655395878,-70.06945518143,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F196_T20210512_130732_615,42.2427591222594,-70.0697191246814,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F197_T20210512_130733_064,42.2427495453737,-70.0699836473049,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F198_T20210512_130733_514,42.2427409973717,-70.0702473751395,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F199_T20210512_130733_976,42.2427349222991,-70.0705093331143,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F200_T20210512_130734_426,42.2427316057287,-70.0707697281304,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F201_T20210512_130734_884,42.2427301338836,-70.0710282413357,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F202_T20210512_130735_337,42.2427341984343,-70.0712856783266,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F203_T20210512_130735_799,42.2427427386853,-70.0715419449973,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F204_T20210512_130736_245,42.2427527856958,-70.0717983377889,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F205_T20210512_130736_707,42.2427633262332,-70.0720551611196,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F206_T20210512_130737_156,42.2427733442111,-70.0723129324896,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F207_T20210512_130737_614,42.2427833035325,-70.0725731686135,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F208_T20210512_130738_064,42.2427918015667,-70.072834105609,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F209_T20210512_130738_525,42.2427984849485,-70.0730946983538,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F210_T20210512_130738_974,42.2428067465147,-70.0733553609953,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F211_T20210512_130739_435,42.2428149347038,-70.0736168656535,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F212_T20210512_130739_886,42.2428213297075,-70.0738790865944,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F213_T20210512_130740_345,42.2428257598389,-70.0741416967653,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F214_T20210512_130740_795,42.2428282908784,-70.0744049548986,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F215_T20210512_130741_255,42.2428308507113,-70.0746679016519,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F216_T20210512_130741_705,42.2428319638006,-70.0749305068065,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F217_T20210512_130742_163,42.2428320813878,-70.0751920658932,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F218_T20210512_130742_616,42.2428315534139,-70.0754535235068,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F219_T20210512_130743_075,42.2428309520737,-70.0757148904566,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F220_T20210512_130743_527,42.2428291281218,-70.0759762311077,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F221_T20210512_130743_987,42.2428256766143,-70.0762386278332,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F222_T20210512_130744_435,42.2428266364498,-70.076498816348,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F223_T20210512_130744_895,42.2428239997876,-70.0767602773501,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F224_T20210512_130745_346,42.2428224417971,-70.0770229634635,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F225_T20210512_130745_806,42.2428172951806,-70.0772843328771,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F226_T20210512_130746_253,42.2428181452271,-70.0775465988558,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F227_T20210512_130746_716,42.2428160686054,-70.0778082107692,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F228_T20210512_130747_165,42.2428125730946,-70.0780689044719,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F229_T20210512_130747_625,42.2428077571234,-70.0783299939958,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F230_T20210512_130748_075,42.2428026463849,-70.078590648665,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F231_T20210512_130748_536,42.2427983278079,-70.0788525545102,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F232_T20210512_130748_990,42.2427960862236,-70.0791143428243,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F233_T20210512_130749_433,42.2427947684255,-70.0793749940827,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F234_T20210512_130749_892,42.2427922990511,-70.0796358740881,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F235_T20210512_130750_345,42.2427898992228,-70.0798971335041,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F236_T20210512_130750_804,42.2427873936744,-70.0801588665785,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F237_T20210512_130751_254,42.2427854196012,-70.0804212343043,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F238_T20210512_130751_715,42.2427848221139,-70.0806823840692,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F239_T20210512_130752_166,42.2427861421114,-70.0809421235644,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F240_T20210512_130752_625,42.2427877625776,-70.0812006595399,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F241_T20210512_130753_079,42.2427891160923,-70.0814598474644,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F242_T20210512_130753_538,42.2427920441024,-70.0817194904978,2021_May_12_13,2021-05-12T13:05:00
C7_L1_F243_T20210512_130753_993,42.2427956957262,-70.0819787368431,2021_May_12_13,2021-05-12T13:05:00
